condition|pulmonary|transplant|year_verification
stage ia fallopian tube cancer|N|N|New only
stage ib fallopian tube cancer|N|N|New only
stage ib skin melanoma|N|N|New only
stage ib2 cervical cancer|N|N|New only
stage ic fallopian tube cancer|N|N|New only
stage ii adenoid cystic carcinoma of the oral cavity|N|N|New only
stage ii cervical cancer|N|N|New only
stage ii colon cancer|N|N|New only
stage ii esophageal squamous cell carcinoma|N|N|New only
stage ii mucoepidermoid carcinoma of the oral cavity|N|N|New only
stage ii mycosis fungoides/sezary syndrome|N|N|New only
stage ii oropharyngeal squamous cell carcinoma|N|N|New only
stage ii small lymphocytic lymphoma|N|N|New only
stage ii squamous cell carcinoma of the nasopharynx|N|N|New only
stage ii vulvar cancer|N|N|New only
stage iia ovarian epithelial cancer|N|N|New only
stage iia skin melanoma|N|N|New only
stage iib gastric cancer|N|N|New only
stage iib mycosis fungoides/sezary syndrome|N|N|New only
stage iib ovarian epithelial cancer|N|N|New only
stage iic ovarian epithelial cancer|N|N|New only
stage iii adenoid cystic carcinoma of the oral cavity|N|N|New only
stage iii bladder urothelial carcinoma|N|N|New only
stage iii diffuse large b-cell lymphoma|N|N|New only
stage iii endometrial carcinoma|N|N|New only
stage iii hypopharyngeal squamous cell carcinoma|N|N|New only
stage iii laryngeal squamous cell carcinoma|N|N|New only
stage iii mucoepidermoid carcinoma of the oral cavity|N|N|New only
stage iii oral cavity squamous cell carcinoma|N|N|New only
stage iii urethral cancer|N|N|New only
stage iii vaginal cancer|N|N|New only
stage iiia colorectal cancer|N|N|New only
stage iiia mycosis fungoides/sezary syndrome|N|N|New only
stage iiia ovarian germ cell tumor|N|N|New only
stage iiia primary peritoneal cavity cancer|N|N|New only
stage iiia uveal melanoma|N|N|New only
stage iiib colorectal cancer|N|N|New only
stage iiib mycosis fungoides/sezary syndrome|N|N|New only
stage iiib ovarian germ cell tumor|N|N|New only
stage iiib primary peritoneal cavity cancer|N|N|New only
stage iiib uterine sarcoma|N|N|New only
stage iiib uveal melanoma|N|N|New only
stage iiic colorectal cancer|N|N|New only
stage iiic ovarian germ cell tumor|N|N|New only
stage iiic primary peritoneal cavity cancer|N|N|New only
stage iiic uterine sarcoma|N|N|New only
stage iiic uveal melanoma|N|N|New only
stage iv diffuse large b-cell lymphoma|N|N|New only
stage iv endometrial carcinoma|N|N|New only
stage iv lymphoepithelioma of the nasopharynx|N|N|New only
stage iv merkel cell carcinoma|N|N|New only
stage iv squamous cell carcinoma of the paranasal sinus and nasal cavity|N|N|New only
stage iv thyroid gland follicular carcinoma|N|N|New only
stage iv thyroid gland papillary carcinoma|N|N|New only
stage iv uterine sarcoma|N|N|New only
stage iva hypopharyngeal squamous cell carcinoma|N|N|New only
stage iva mycosis fungoides/sezary syndrome|N|N|New only
stage iva oral cavity verrucous carcinoma|N|N|New only
stage iva oropharyngeal squamous cell carcinoma ajcc v7|N|N|New only
stage iva thyroid gland follicular carcinoma|N|N|New only
stage iva thyroid gland papillary carcinoma|N|N|New only
stage iva uterine sarcoma|N|N|New only
stage ivb laryngeal squamous cell carcinoma|N|N|New only
stage ivb mycosis fungoides/sezary syndrome|N|N|New only
stage ivb oropharyngeal squamous cell carcinoma ajcc v7|N|N|New only
stage ivb thyroid gland follicular carcinoma|N|N|New only
stage ivb thyroid gland papillary carcinoma|N|N|New only
stage ivb uterine sarcoma|N|N|New only
stage ivc thyroid gland follicular carcinoma|N|N|New only
stage ivc thyroid gland papillary carcinoma|N|N|New only
staphylococcus aureus infection|N|N|New only
striae|N|N|New only
stump pain|N|N|New only
subacromial bursitis|N|N|New only
subcutaneous fat|N|N|New only
submental fat|N|N|New only
symptomatic aortic stenosis|N|N|New only
t-cell non-hodgkin lymphoma|N|N|New only
teen pregnancy prevention|N|N|New only
temporal lobe epilepsy|N|N|New only
temporomandibular joint disorder|N|N|New only
temporomandibular joint dysfunction|N|N|New only
tendonitis|N|N|New only
testicular germ cell tumor|N|N|Both
therapeutic procedural complication|N|N|New only
therapy|N|N|Both
thermal injury|N|N|New only
thoracic aortic aneurysm|N|N|New only
thyroid gland medullary carcinoma|N|N|New only
thyroid surgery|N|N|New only
thyroid-associated ophthalmopathy|N|N|New only
tinea corporis|N|N|New only
tobacco addiction|N|N|New only
toxicity due to chemotherapy|N|N|New only
toxicity due to radiotherapy|N|N|New only
transformed recurrent non-hodgkin lymphoma|N|N|New only
transient ischemic attack (tia)|N|N|New only
transplants and implants|Y|Y|New only
traumatic femoral fractures|N|N|New only
traveler's diarrhea|N|N|New only
travelers' diarrhea|N|N|Both
triage|N|N|New only
type-2 diabetes mellitus|N|N|New only
typhoid|N|N|New only
typical atrial flutter|N|N|New only
unilateral hearing loss|N|N|New only
unilateral primary osteoarthritis of knee|N|N|New only
unresectable extrahepatic bile duct cancer|N|N|New only
unresectable pancreatic carcinoma|N|N|New only
unspecified adult solid tumor|N|N|New only
untreated childhood anaplastic astrocytoma|N|N|New only
untreated childhood brain stem glioma|N|N|New only
untreated childhood gliosarcoma|N|N|New only
untreated childhood supratentorial primitive neuroectodermal tumor|N|N|New only
untreated hairy cell leukemia|N|N|New only
upper aerodigestive tract neoplasms|N|N|New only
urethra cancer|N|N|New only
urinary stones|N|N|New only
uterine fibroid|N|N|New only
uterine leiomyomas|N|N|New only
vaccine|N|N|New only
vaginal delivery|N|N|New only
vasomotor rhinitis|N|N|New only
vasospastic angina|N|N|New only
vasovagal syncope|N|N|New only
venous stasis ulcer|N|N|New only
ventricular arrythmias|N|N|Both
very low birth weight infant|N|N|New only
vitamin deficiency|N|N|New only
voiding dysfunction|N|N|New only
von hippel-lindau syndrome|N|N|New only
well being|N|N|New only
white spot lesions|N|N|New only
wound infections|N|N|New only
acute kidney injury|N|N|Old only
acute pain|N|N|Old only
advanced heart failure|N|N|Old only
alzheimerazs disease|N|N|Old only
apathy|N|N|Old only
attention deficit disorder with hyperactivity|N|N|Old only
autism spectrum disorder|N|N|Old only
beta-thalassemia|N|N|Old only
candidemia|N|N|Old only
cardiac catheterization|N|N|Old only
cardiac transplantation|Y|Y|Old only
cellulite|N|N|Old only
cervical neoplasia|N|N|Old only
childhood germ cell tumor|N|N|Old only
chronic|N|N|Old only
chronic pain|N|N|Old only
cns cancer|N|N|Old only
cognitive dysfunction|N|N|Old only
congenital hyperinsulinism|N|N|Old only
continuous ambulatory peritoneal dialysis|N|N|Old only
edentulism|N|N|Old only
eosinophilic esophagitis|N|N|Old only
extragonadal germ cell tumor|N|N|Old only
first episode psychosis|N|N|Old only
haemophilus influenzae infections|N|N|Old only
haemophilus influenzae type b disease|N|N|Old only
hypoxia|Y|N|Old only
impotence|N|N|Old only
incisional hernia|N|N|Old only
influenza disease|N|N|Old only
intraocular lymphoma|N|N|Old only
intraocular melanoma|N|N|Old only
islet cell tumor|N|N|Old only
lower urinary tract symptoms|N|N|Old only
lymphomas: non-hodgkin|N|N|Old only
methamphetamine addiction|N|N|Old only
migraine with aura|N|N|Old only
mild asthma|Y|N|Old only
myalgia|N|N|Old only
myelodysplastic/myeloproliferative diseases|N|N|Old only
neonatal sepsis|N|N|Old only
neonates|N|N|Old only
non-alcoholic fatty liver disease|N|N|Old only
non-melanomatous skin cancer|N|N|Old only
otitis media with effusion|N|N|Old only
pain management|N|N|Old only
parenteral nutrition associated liver disease|N|N|Old only
pediatric obesity|N|N|Old only
percutaneous coronary intervention|N|N|Old only
peripheral arterial disease|N|N|Old only
pneumococcal diseases|N|N|Old only
postoperative|N|N|Old only
premature ejaculation|N|N|Old only
refractory anemia with ringed sideroblasts|N|N|Old only
schizoaffective|N|N|Old only
sexual dysfunction and infertility|N|N|Old only
solid tumor cancer|N|N|Old only
stroke prevention|N|N|Old only
tobacco use|N|N|Old only
tooth extractions|N|N|Old only
transplant|Y|Y|Old only
uncomplicated malaria|N|N|Old only
vaccines, pneumococcal conjugate vaccine|N|N|Old only
vaginal prolapse|N|N|Old only
vision|N|N|Old only
